shop,borough,revenue
Revival,WALTHAM FOREST,54050
King’s Row Coffee,CAMDEN,68570
Rise & Shine,BARNET,93400
Elm Coffee Roasters,ISLINGTON,74070
Cafe D’Bolla,ENFIELD,51420
Peregrine Espresso,WALTHAM FOREST,51430
Renaissance Cafe,GREENWICH,78500
Commonwealth Cafe,HARINGEY,54080
Coffee Roasterie,BRENT,86050
Diva Espresso,HAVERING,80940
Grassroots Cafe,KENSINGTON AND CHELSEA,96950
Sunset Cafe,MERTON,87410
Old Town Roastery,WALTHAM FOREST,61700
Obelisk Cafe,BARNET,61290
Viva Coffee,HARINGEY,45460
Rendezvous,HARROW,91620
Maison Mocha,CROYDON,50080
Cafe Royale,HAMMERSMITH AND FULHAM,84770
East End Espresso,BROMLEY,55330
Pegasus Coffee Bar,WALTHAM FOREST,58430
Cafe Robusta,HOUNSLOW,62760
The Java Club,CROYDON,76380
Organic Roastery,NEWHAM,46060
Bluebird Cafe,SOUTHWARK,79980
Trilogy Cafe,BROMLEY,56280
Cafe Voila,CROYDON,66660
Cafe Bellissimo,HOUNSLOW,58100
Primo Coffee,SUTTON,65750
Rosebud Cafe,CROYDON,69480
Revival,WESTMINSTER,43100
King’s Row Coffee,BROMLEY,73410
Rise & Shine,BARNET,65880
Elm Coffee Roasters,KINGSTON UPON THAMES,86850
Cafe D’Bolla,WALTHAM FOREST,88340
Peregrine Espresso,BEXLEY,53790
Renaissance Cafe,HILLINGDON,70770
Commonwealth Cafe,KENSINGTON AND CHELSEA,78410
Coffee Roasterie,BEXLEY,92450
Diva Espresso,HARROW,91100
Grassroots Cafe,REDBRIDGE,54480
Sunset Cafe,GREENWICH,85900
Old Town Roastery,MERTON,65530
Obelisk Cafe,LAMBETH,56690
Viva Coffee,BARNET,69230
Rendezvous,HAMMERSMITH AND FULHAM,55520
Maison Mocha,HARROW,95200
Cafe Royale,HOUNSLOW,67810
East End Espresso,EALING,52900
Pegasus Coffee Bar,HAMMERSMITH AND FULHAM,52320
Cafe Robusta,HAVERING,70810
The Java Club,SOUTHWARK,94690
Organic Roastery,NEWHAM,80900
Bluebird Cafe,GREENWICH,85170
Trilogy Cafe,CITY OF LONDON,92440
Cafe Voila,ENFIELD,49100
Cafe Bellissimo,HILLINGDON,96870
Primo Coffee,HILLINGDON,62340
Rosebud Cafe,BEXLEY,96480
